zip,neighbourhood_group
10115,Mitte
10117,Mitte
10119,Mitte
10178,Mitte
10179,Mitte
10435,Mitte
10551,Mitte
10553,Mitte
10555,Mitte
10557,Mitte
10559,Mitte
10623,Mitte
10785,Mitte
10787,Mitte
10963,Mitte
10969,Mitte
13347,Mitte
13349,Mitte
13351,Mitte
13353,Mitte
13355,Mitte
13357,Mitte
13359,Mitte
13405,Mitte
13407,Mitte
13409,Mitte
10179,Friedrichshain-Kreuzberg
10243,Friedrichshain-Kreuzberg
10245,Friedrichshain-Kreuzberg
10247,Friedrichshain-Kreuzberg
10249,Friedrichshain-Kreuzberg
10367,Friedrichshain-Kreuzberg
10785,Friedrichshain-Kreuzberg
10961,Friedrichshain-Kreuzberg
10963,Friedrichshain-Kreuzberg
10965,Friedrichshain-Kreuzberg
10967,Friedrichshain-Kreuzberg
10969,Friedrichshain-Kreuzberg
10997,Friedrichshain-Kreuzberg
10999,Friedrichshain-Kreuzberg
12045,Friedrichshain-Kreuzberg
13187,Pankow
13189,Pankow
10119,Pankow
10247,Pankow
10249,Pankow
10405,Pankow
10407,Pankow
10409,Pankow
10435,Pankow
10437,Pankow
10439,Pankow
13051,Pankow
13053,Pankow
13086,Pankow
13088,Pankow
13089,Pankow
13125,Pankow
13127,Pankow
13129,Pankow
13156,Pankow
13158,Pankow
13159,Pankow
10553,Charlottenburg-Wilm.
10585,Charlottenburg-Wilm.
10587,Charlottenburg-Wilm.
10589,Charlottenburg-Wilm.
10623,Charlottenburg-Wilm.
10625,Charlottenburg-Wilm.
10627,Charlottenburg-Wilm.
10629,Charlottenburg-Wilm.
10707,Charlottenburg-Wilm.
10709,Charlottenburg-Wilm.
10711,Charlottenburg-Wilm.
10713,Charlottenburg-Wilm.
10715,Charlottenburg-Wilm.
10717,Charlottenburg-Wilm.
10719,Charlottenburg-Wilm.
10777,Charlottenburg-Wilm.
10779,Charlottenburg-Wilm.
10787,Charlottenburg-Wilm.
10789,Charlottenburg-Wilm.
10825,Charlottenburg-Wilm.
13353,Charlottenburg-Wilm.
13597,Charlottenburg-Wilm.
13627,Charlottenburg-Wilm.
13629,Charlottenburg-Wilm.
14050,Charlottenburg-Wilm.
14052,Charlottenburg-Wilm.
14053,Charlottenburg-Wilm.
14055,Charlottenburg-Wilm.
14057,Charlottenburg-Wilm.
14059,Charlottenburg-Wilm.
14193,Charlottenburg-Wilm.
14195,Charlottenburg-Wilm.
14197,Charlottenburg-Wilm.
14199,Charlottenburg-Wilm.
13581,Spandau
13583,Spandau
13585,Spandau
13587,Spandau
13589,Spandau
13591,Spandau
13593,Spandau
13595,Spandau
13597,Spandau
13599,Spandau
13627,Spandau
13629,Spandau
14052,Spandau
14089,Spandau
12157,Steglitz-Zehlendorf
12161,Steglitz-Zehlendorf
12163,Steglitz-Zehlendorf
12165,Steglitz-Zehlendorf
12167,Steglitz-Zehlendorf
12169,Steglitz-Zehlendorf
12203,Steglitz-Zehlendorf
12205,Steglitz-Zehlendorf
12207,Steglitz-Zehlendorf
12209,Steglitz-Zehlendorf
12247,Steglitz-Zehlendorf
